block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,8,338.8077443,s,1,0.7509569,,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.971858016,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,1,1,0,343.3240873,a,1,0.7184776,,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,2,2,45,347.8378088,f,1,0.8551691,349.8374408,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.935097843,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,17,352.3532493,s,0,0.9706887,354.35321,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,4,4,11,356.8366011,f,1,0.6873043,358.8370961,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,5,5,23,361.3202832,f,1,0.6419458,363.3339177,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.680507855,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,6,6,33,365.831881,f,1,0.730612,367.8312531,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,20,370.3468703,s,1,0.8453547,372.3475528,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,8,8,29,374.8453994,a,1,0.6744486,376.8445672,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,9,9,47,379.343791,a,1,0.6836948,381.3432479,P1,2023-06-08_10h15.51.496,StroopExp,2022.2.5,60.14932672
