block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.9396621068767484,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,0,0,21,102.46733780000022,None,0,,,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,1,1,42,106.9827151000004,end,0,0.6562026999999944,,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.03433248455064386,1,incongruent,YELLOW,red,a,distractors/2.wav,,,,,,,0,1,1,1,0,0,0,13,207.4480477000002,a,1,0.6607468000001973,209.4472406,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.23156741124673452,1,congruent,GREEN,green,s,distractors/4.wav,,,,,,,0,1,1,1,0,1,1,8,211.96315500000037,s,1,0.8116649000003235,213.96253400000023,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.4832744640468789,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,,,0,1,1,1,0,2,2,24,216.47834230000035,f,1,0.6412278000002516,218.47742340000013,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.15564368800765982,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,,,0,1,1,1,0,3,3,39,220.97739690000026,d,1,0.7662817999998879,222.97828600000003,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.8140627153069117,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,,,0,1,1,1,0,4,4,36,225.47715319999998,d,1,0.7416161999999531,227.4775920000002,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.776926077509408,1,incongruent,GREEN,blue,d,distractors/4.wav,,,,,,,0,1,1,1,0,5,5,22,229.9737401000002,d,1,0.8353461000001516,231.97300760000007,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.21174317193635972,1,congruent,YELLOW,yellow,f,distractors/2.wav,,,,,,,0,1,1,1,0,6,6,38,234.47203320000017,f,1,0.6694581000001563,236.47131190000027,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
b2,stroop_trial_condtions/b2.xlsx,0.06730533561031782,1,incongruent,BLUE,yellow,f,distractors/3.wav,,,,,,,0,1,1,1,0,7,7,26,238.97049050000032,f,1,1.0626852000000326,240.9695396000002,P11,2023-06-08_10h43.22.500,StroopExp,2022.2.5,59.969331683692126,
