block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,Type,direction,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,0,0,29,178.8685631,180.8709467,a,1,1.4210273,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.493018261,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,1,1,7,183.3675496,185.3714177,d,1,0.9864341,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,2,2,23,187.8514489,189.8510674,f,1,1.0220132,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,3,3,41,192.3464239,194.3461286,a,1,0.9090274,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.072914577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,4,4,3,196.8614514,198.8613107,d,1,1.4883563,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.896952266,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,5,5,25,201.3764028,203.3759276,d,1,1.2839458,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.004767374,0,incongruent,RED,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,6,6,14,205.8917759,207.8912664,None,0,,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.625212421,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,7,7,24,210.3931003,,s,1,0.8546345,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.249190077,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,8,8,16,214.9058656,216.9047439,None,0,,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,9,9,42,219.4043595,221.4032886,s,1,1.1450696,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.451597903,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,10,10,22,223.9027178,225.9021296,d,1,1.8970114,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.251874896,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,11,11,37,228.4184599,230.4182417,d,1,0.9068611,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.660435133,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,12,12,4,232.9016906,234.9015811,s,1,1.0776867,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.674408476,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,13,13,26,237.4020156,,f,1,1.4599504,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.01936095,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,14,14,2,241.9137902,243.9126286,s,1,1.4815675,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,15,15,9,246.4118722,248.4109637,a,1,0.6258,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.733681542,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,16,16,15,250.9437278,252.9427707,s,1,1.8042793,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.191332161,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,17,17,43,255.4420904,257.44124,s,1,0.9312493,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.922953448,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,18,18,40,259.9571742,261.9564948,a,1,0.7300863,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.830948331,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,19,19,46,264.4618739,266.4716645,s,1,1.5513202,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.971858016,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,20,20,0,268.9542668,270.9547503,a,1,1.0495173,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.401782254,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,21,21,12,273.4696661,275.4688961,a,1,1.3503133,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.935097843,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,22,22,17,277.9692712,279.969347,d,1,1.1086957,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.419315371,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,23,23,38,282.4525384,284.4691702,a,1,0.8216628,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.976569181,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,24,24,39,286.9643595,288.9642892,d,1,0.7072774,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.256932032,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,25,25,30,291.4805753,,d,1,0.7517085,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.708976038,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,26,26,8,295.9950332,297.9945094,s,1,1.3347622,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,27,27,5,300.5103005,,a,1,1.0114346,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.647841101,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,28,28,6,305.0256509,307.0249565,a,1,0.9243969,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.936669537,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,29,29,34,309.5238749,311.5233309,f,1,0.9667046,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,30,30,11,314.0392776,316.038384,f,1,0.89314,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.542994022,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,31,31,28,318.5541695,320.5535508,f,1,0.8374596,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.68696849,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,32,32,45,323.0527988,325.0533422,f,1,0.760895,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.077117098,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,33,33,35,327.5366526,329.5367081,a,1,0.8670481,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,34,34,44,332.0200471,334.0322119,s,0,1.0492234,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.667196906,0,incongruent,RED,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,35,35,36,336.5318769,,s,1,1.4198891,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.548087945,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,36,36,32,341.0466947,,f,1,0.779269,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.983636333,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,37,37,10,345.5618273,347.560988,f,1,0.9342384,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.237396997,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,38,38,18,350.060284,352.0590362,d,1,1.14336,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,39,39,21,354.5588362,356.5581037,a,1,0.8810033,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.027168618,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,40,40,27,359.0736996,361.0738717,f,1,0.9562904,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.543070637,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,41,41,1,363.5892792,365.5883825,f,1,0.9386029,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.976942146,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,42,42,13,368.104213,370.1036421,d,1,0.9693383,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.63243718,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,,,0,0,0,0,0,43,43,19,372.6039489,374.6041934,d,1,0.977795,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.680507855,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,,,0,0,0,0,0,44,44,33,377.0875823,379.0875335,f,1,1.0085298,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,45,45,20,381.5829764,383.5825141,s,1,0.9772077,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.153196184,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,,,0,0,0,0,0,46,46,31,386.0979966,388.097538,s,1,0.8100915,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b1,stroop_trial_condtions/b1.xlsx,0.579491601,0,congruent,RED,red,a,distractors/silence.wav,,,,,,,0,0,0,0,0,47,47,47,390.6131878,392.6126657,a,1,0.8580801,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.488971465,1,incongruent,BLUE,red,a,distractors/4.wav,,,,,,,0,1,1,1,0,0,0,29,462.6556386,464.6551529,a,1,0.9992643,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.04164908,1,incongruent,RED,yellow,f,distractors/4.wav,,,,,,,0,1,1,1,0,1,1,2,467.1386946,469.1605654,f,1,0.8834105,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.107154682,1,incongruent,BLUE,green,s,distractors/3.wav,,,,,,,0,1,1,1,0,2,2,33,471.6220874,473.6221942,s,1,1.1213115,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.973471425,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,,,0,1,1,1,0,3,3,1,476.1343701,478.1338145,d,1,0.7193698,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.483274464,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,,,0,1,1,1,0,4,4,24,480.6497883,,f,1,0.6276432,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.813514666,1,incongruent,GREEN,red,a,distractors/3.wav,,,,,,,0,1,1,1,0,5,5,40,485.1644804,487.1642009,a,1,0.8689276,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.838430071,1,congruent,RED,red,a,distractors/1.wav,,,,,,,0,1,1,1,0,6,6,25,489.6633286,491.6625414,a,1,0.8882213,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.966821302,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,,,0,1,1,1,0,7,7,21,494.1617978,496.1608312,d,1,0.8698421,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.196366522,1,incongruent,GREEN,red,a,distractors/1.wav,,,,,,,0,1,1,1,0,8,8,9,498.6602045,500.659547,a,1,0.8504083,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.796267692,1,incongruent,RED,blue,d,distractors/4.wav,,,,,,,0,1,1,1,0,9,9,46,503.1596529,,d,1,1.33604,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.531759185,1,congruent,YELLOW,yellow,f,distractors/2.wav,,,,,,,0,1,1,1,0,10,10,34,507.6742642,,f,1,0.7333663,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.034332485,1,incongruent,YELLOW,red,a,distractors/2.wav,,,,,,,0,1,1,1,0,11,11,13,512.1892027,514.1889533,a,1,0.5764535,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.067305336,1,incongruent,BLUE,yellow,f,distractors/3.wav,,,,,,,0,1,1,1,0,12,12,26,516.6727582,518.672733,f,1,1.2677679,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.25539718,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,,,0,1,1,1,0,13,13,45,521.1695165,,f,1,0.8142216,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.108398141,1,incongruent,RED,green,s,distractors/1.wav,,,,,,,0,1,1,1,0,14,14,14,525.6840691,527.6834223,s,1,1.1734321,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.087696882,1,incongruent,RED,green,s,distractors/3.wav,,,,,,,0,1,1,1,0,15,15,47,530.1991325,532.198737,s,1,1.2999187,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.329333187,1,incongruent,YELLOW,green,s,distractors/2.wav,,,,,,,0,1,1,1,0,16,16,6,534.7145265,536.7135079,s,1,0.8437374,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.776926078,1,incongruent,GREEN,blue,d,distractors/4.wav,,,,,,,0,1,1,1,0,17,17,22,539.2131138,,d,1,1.2663012,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.065023824,1,incongruent,GREEN,yellow,f,distractors/1.wav,,,,,,,0,1,1,1,0,18,18,7,543.7114245,545.7107518,f,1,1.3845079,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.828978616,1,incongruent,RED,yellow,f,distractors/4.wav,,,,,,,0,1,1,1,0,19,19,31,548.2103185,550.2093424,f,1,1.0925044,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.231567411,1,congruent,GREEN,green,s,distractors/4.wav,,,,,,,0,1,1,1,0,20,20,8,552.7252533,554.7283615,s,1,1.3929529,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.900567422,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,,,0,1,1,1,0,21,21,30,557.2239629,559.2271042,d,1,0.970153,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.090889572,1,congruent,RED,red,a,distractors/3.wav,,,,,,,0,1,1,1,0,22,22,41,561.7065294,563.7065288,a,1,0.7052738,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.211743172,1,congruent,YELLOW,yellow,f,distractors/2.wav,,,,,,,0,1,1,1,0,23,23,38,566.2068274,568.2238104,f,1,1.0046782,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.42490795,1,congruent,GREEN,green,s,distractors/2.wav,,,,,,,0,1,1,1,0,24,24,4,570.7190003,572.7181705,s,1,0.6086806,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.500798324,1,incongruent,BLUE,green,s,distractors/1.wav,,,,,,,0,1,1,1,0,25,25,18,575.2345135,577.2339431,s,1,1.1472956,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.361479091,1,congruent,GREEN,green,s,distractors/1.wav,,,,,,,0,1,1,1,0,26,26,17,579.7327811,581.7318754,s,1,0.7093375,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.733185206,1,incongruent,GREEN,blue,d,distractors/4.wav,,,,,,,0,1,1,1,0,27,27,28,584.2311279,586.2308135,d,1,1.2445227,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
b2,stroop_trial_condtions/b2.xlsx,0.155643688,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,,,0,1,1,1,0,28,28,39,588.7462766,590.7458985,d,1,0.8006795,P14,2023-06-26_14h45.34.724,StroopExp,2022.2.5,60.08344389
