block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate
b1,stroop_trial_condtions/b1.xlsx,0.350328137,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,20,472.7756185,474.7808282,s,1,1.0408857,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.870893567,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,1,1,9,477.275684,479.2755581,a,1,1.0890567,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.983636333,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,2,2,10,481.7717604,483.771015,f,1,1.3087643,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.729684234,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,3,3,29,486.2695364,488.2691936,a,1,0.9475006,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.419315371,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,4,4,38,490.7850694,492.7844088,a,1,0.8696405,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.571650714,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,5,5,5,495.2832475,497.2840811,a,1,1.0676765,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.543070637,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,6,6,1,499.7820245,501.7811921,f,1,1.1590075,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.744564924,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,42,504.2804843,506.2798238,s,1,1.0142068,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.939662107,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,8,8,21,508.7792176,510.7781917,a,1,1.0655472,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.733681542,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,9,9,15,513.277574,515.2766779,s,1,1.4595591,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.583196525,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,44,517.7765692,519.77621,d,1,1.4999399,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.8328021,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,11,11,41,522.2759772,524.2762256,a,1,1.0933302,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.199393364,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,12,12,23,526.7597892,528.7725663,f,1,1.3464975,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
b1,stroop_trial_condtions/b1.xlsx,0.870406961,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,13,13,11,531.2714286,533.2721943,f,1,1.0392072,P19,2023-06-27_16h03.24.091,StroopExp,2022.2.5,60.34278321
