block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,0,0,35,253.45733860000007,a,1,0.9497090000002117,,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.4017822535991459,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,1,1,12,257.97211589999995,a,1,0.7517503999999917,259.97188830000016,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.8309483305278348,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,2,2,46,262.4868166,s,1,1.6847600999999486,264.48654190000013,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.9765691810900071,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,39,267.0023338,d,1,1.037683799999968,269.0014380000001,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.9350978434171133,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,4,4,17,271.50117609999995,d,1,0.9724063999999544,,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.8969522657404946,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,5,5,25,276.01567639999996,d,1,0.7218911999998454,278.01532710000004,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.4930182611236916,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,6,6,7,280.5158903,d,1,0.5933330999998816,282.51582700000006,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.5831965246907577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,7,7,44,284.99943240000005,d,1,0.6357391999999891,287.0121720000001,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.870406961301538,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,8,8,11,289.5110965,f,1,1.0325376000000688,291.51084320000007,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.5716507137496009,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,9,9,5,294.02671480000015,a,1,1.054457599999978,296.0256584,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
b1,stroop_trial_condtions/b1.xlsx,0.680507855371767,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,10,10,33,298.5412864000001,f,1,1.0668999000001804,300.5406285,P36,2023-07-10_14h13.22.075,StroopExp,2022.2.5,59.741795957842925,
