block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,0,0,42,508.9885724999999,510.99262290000024,s,1,1.0621553000000858,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9396621068767484,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,1,1,21,513.4885920000002,515.4885594000002,a,1,1.2373744000001352,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.027168618358859753,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,2,2,27,517.9849208999999,519.984461,f,1,1.1207319000000098,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.8969522657404946,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,3,3,25,522.4830932,524.4827796,d,1,0.9665537999999287,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.45159790316989123,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,4,4,22,526.9984924,528.9981425000001,d,1,1.1891441000002487,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.19133216126723684,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,5,5,43,531.4965969999998,533.4965664000001,s,1,1.0475934000000962,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.632437180452533,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,6,6,19,535.9952939999998,537.9946018,d,1,1.266881099999864,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.680507855371767,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,7,7,33,540.4933617000002,542.4931038999998,f,1,1.106549499999801,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.41931537120590046,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,8,8,38,544.9920762000002,546.9913854000001,a,1,1.2140746000000036,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9718580164963233,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,9,9,0,549.4904331000002,551.4899661999998,a,1,1.0874671999999919,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9769421455207146,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,10,10,13,554.0058339000002,556.0055505,d,1,0.969879199999923,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.23739699734220088,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,11,11,18,558.4893038999999,560.4892,d,1,1.1158135999999104,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.019360950480176498,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,12,12,2,562.97251,564.9889466999998,s,1,1.051222399999915,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.6252124205445847,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,13,13,24,567.4846957,,s,1,0.8273232999999891,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9350978434171133,0,incongruent,RED,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,14,14,17,572.0000195000002,573.9992575000001,d,1,1.0022297000000435,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.6478411009005055,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,15,15,6,576.5151443999998,,a,1,1.0365022999999383,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5794916014066622,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,16,16,47,581.0302007999999,583.0290165000001,a,1,1.0260278999999173,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.4930182611236916,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,17,17,7,585.5451689000001,587.5448698,d,1,0.9555238000002646,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.0729145768917061,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,18,18,3,590.0436675999999,592.0430382,d,1,1.0335763999996743,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9765691810900071,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,19,19,39,594.5591955999998,,d,1,0.9547680999999102,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.07711709789910381,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,20,20,35,599.0739481,601.0732231000002,a,1,1.0000990000003185,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.24919007739364696,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,21,21,16,603.5897613000002,605.5897152000002,f,1,1.0501734000004035,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5430706368691302,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,22,22,1,608.0730392999999,610.0729821999998,f,1,0.9503464999997959,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.6869684900918854,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,23,23,45,612.5694432999999,614.5685465000001,f,1,0.8203724999998485,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.4017822535991459,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,24,24,12,617.0677260000002,619.0669373999999,a,1,0.9960706000001665,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.25693203245358776,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,25,25,30,621.5829779999999,623.5822698000002,d,1,0.970787300000211,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.870406961301538,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,26,26,11,626.0809947000002,628.0807254000001,f,1,0.9310703000001013,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5480879446861618,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,27,27,32,630.5799969999998,632.5793723000002,f,1,0.9332163999997647,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.7336815417486652,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,28,28,15,635.0786389,637.0774876,s,1,1.2901254000003064,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.922953448054004,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,29,29,40,639.5768246000002,641.5762202999999,a,1,1.167066700000305,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5429940223524143,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,30,30,28,644.0920541,646.0917208000001,f,1,1.0239583000002312,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.8708935669205526,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,31,31,9,648.5904092999999,650.5903976,a,1,0.9795665999999983,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5831965246907577,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,32,32,44,653.0740042000002,655.0740483999998,d,1,1.1999860000000808,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.8309483305278348,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,0,0,0,0,33,33,46,657.5572983000002,659.5704641000002,s,1,1.4543188999996346,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.6604351330374253,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,34,34,4,662.0688915000001,664.0689293999999,s,1,1.0449549999998453,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.7089760381977726,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,35,35,8,666.5843642999998,668.5840956000002,s,1,1.1294284000000516,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.674408475762876,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,36,36,26,671.0992445000002,673.0984942,f,1,1.0993791000000783,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.6671969061834688,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,37,37,36,675.5982697999998,677.5976344000001,s,1,1.017678100000012,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.832802100155878,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,38,38,41,680.1129257000002,682.1124823999999,a,1,1.1730701000001318,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9366695365255577,0,incongruent,GREEN,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,39,39,34,684.6280419999998,686.6276148000002,f,1,0.823602800000117,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.2518748957010212,0,incongruent,GREEN,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,40,40,37,689.1455160999999,,d,1,1.2200947000001179,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.15319618406080382,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,41,41,31,693.6582692000002,695.6577146,s,1,1.312242000000424,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,42,42,20,698.1577943000002,700.1577729999999,s,1,0.8723979999999756,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.7296842337577286,0,incongruent,BLUE,red,a,distractors/silence.wav,,,,,0,0,0,0,0,43,43,29,702.6576344999999,704.6579379,a,1,0.9920928000001368,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.19939336354685822,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,44,44,23,707.1581108,,f,1,1.02219070000001,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.5716507137496009,0,incongruent,YELLOW,red,a,distractors/silence.wav,,,,,0,0,0,0,0,45,45,5,711.6695338,,a,1,0.954987600000095,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,0,0,0,0,46,46,14,716.1838597999999,718.1835810000002,s,1,0.974382400000195,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b1,stroop_trial_condtions/b1.xlsx,0.9836363330757953,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,47,47,10,720.7001036000001,,f,1,0.9075448000003234,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.3293331866279865,1,incongruent,YELLOW,green,s,distractors/2.wav,,,,,0,1,1,1,0,0,0,6,812.8850201999999,814.8845645000001,s,1,1.0971426999999494,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.15564368800765982,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,0,1,1,1,0,1,1,39,817.4000111999999,819.4172570000001,d,1,1.0103162999998858,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.19636652195914828,1,incongruent,GREEN,red,a,distractors/1.wav,,,,,0,1,1,1,0,2,2,9,821.8988242999999,823.8978040000002,a,1,0.9249348999996982,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.10839814050721508,1,incongruent,RED,green,s,distractors/1.wav,,,,,0,1,1,1,0,3,3,14,826.396968,828.3965809000001,s,1,0.9413540999998986,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.10715468186921961,1,incongruent,BLUE,green,s,distractors/3.wav,,,,,0,1,1,1,0,4,4,33,830.9125941000002,,s,1,0.8573845999999321,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.4832744640468789,1,congruent,YELLOW,yellow,f,distractors/1.wav,,,,,0,1,1,1,0,5,5,24,835.4271548000002,837.4268154000001,f,1,0.9526301999999305,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
b2,stroop_trial_condtions/b2.xlsx,0.5666506333865139,1,incongruent,GREEN,yellow,f,distractors/3.wav,,,,,0,1,1,1,0,6,6,0,839.9265670999998,841.9264050000002,f,1,1.0993068000002495,P38,2023-07-10_15h39.22.524,StroopExp,2022.2.5,60.73928209811168,
