block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.stopped,key_stroop.keys,key_stroop.corr,key_stroop.rt,participant,date,expName,psychopyVersion,frameRate,
b1,stroop_trial_condtions/b1.xlsx,0.5794916014066622,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,0,0,47,225.19050060000018,227.18985900000007,a,1,0.9664755999997396,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.7089760381977726,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,1,1,8,229.70591860000013,231.70480550000002,s,1,0.9891229999998359,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.6869684900918854,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,2,2,45,234.22075529999984,236.2203058,f,1,0.8983980000002703,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.870406961301538,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,3,3,11,238.7360303999999,240.73555269999997,f,1,0.6358132999998816,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.45159790316989123,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,4,4,22,243.25139089999993,,d,1,1.1236024999998335,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.8969522657404946,0,incongruent,YELLOW,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,5,5,25,247.7663149,249.76645569999982,d,1,0.8706591000000117,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.24919007739364696,0,congruent,YELLOW,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,6,6,16,252.24913939999988,254.24961660000008,f,1,0.6087633000001915,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,7,7,42,256.7328800999999,258.7460213999998,s,1,1.0520956999998816,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.15319618406080382,0,incongruent,YELLOW,green,s,distractors/silence.wav,,,,,0,0,0,0,0,8,8,31,261.2450088999999,263.2447089000002,s,1,0.7927576999995836,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.6252124205445847,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,9,9,24,265.7435596,267.743113,s,1,0.6880965000000288,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.9836363330757953,0,incongruent,RED,yellow,f,distractors/silence.wav,,,,,0,0,0,0,0,10,10,10,270.2586934000001,272.25823720000017,f,1,1.1906403999996655,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.0729145768917061,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,11,11,3,274.7732777000001,276.77254700000003,d,1,0.7764191999999639,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.8708935669205526,0,congruent,RED,red,a,distractors/silence.wav,,,,,0,0,0,0,0,12,12,9,279.27252499999986,,a,1,0.7765879999997196,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.4930182611236916,0,congruent,BLUE,blue,d,distractors/silence.wav,,,,,0,0,0,0,0,13,13,7,283.78731229999994,285.78630310000017,d,1,1.084320100000241,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.35032813659302076,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,0,0,0,0,14,14,20,288.3024193000001,290.3018919000001,s,1,0.5935223999999835,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
b1,stroop_trial_condtions/b1.xlsx,0.6478411009005055,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,0,0,0,0,15,15,6,292.80118589999984,294.80014059999985,a,1,1.0164657000000261,P7,2023-06-09_14h47.43.260,StroopExp,2022.2.5,59.86722646520437,
